Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
JSP page request,20000,359,187,820,886,1010,1,1367,0.000%,195.73877,588.37,32.30
Image request,10000,213,164,424,477,566,2,997,0.000%,97.94511,7450.62,16.36
TOTAL,30000,310,178,770,849,980,1,1367,0.000%,293.57080,8032.20,48.64
