Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
JSP page request,20000,380,192,864,936,1071,1,1494,0.000%,186.88794,561.76,30.84
Image request,10000,230,173,445,498,620,2,1062,0.000%,93.67067,7125.47,15.64
TOTAL,30000,330,184,813,896,1035,1,1494,0.000%,280.30572,7669.26,46.44
